"Country","URL"
"Afghanistan","/travel/destinations/traveler/none/afghanistan"
"Albania","/travel/destinations/traveler/none/albania"
"Algeria","/travel/destinations/traveler/none/algeria"
"American Samoa","/travel/destinations/traveler/none/american-samoa"
"Andorra","/travel/destinations/traveler/none/andorra"
"Angola","/travel/destinations/traveler/none/angola"
"Anguilla (U.K.)","/travel/destinations/traveler/none/anguilla"
"Antarctica","/travel/destinations/traveler/none/antarctica"
"Antigua and Barbuda","/travel/destinations/traveler/none/antigua-and-barbuda"
"Argentina","/travel/destinations/traveler/none/argentina"
"Armenia","/travel/destinations/traveler/none/armenia"
"Aruba","/travel/destinations/traveler/none/aruba"
"Australia","/travel/destinations/traveler/none/australia"
"Austria","/travel/destinations/traveler/none/austria"
"Azerbaijan","/travel/destinations/traveler/none/azerbaijan"
"Azores","/travel/destinations/traveler/none/azores"
"Bahamas, The","/travel/destinations/traveler/none/the-bahamas"
"Bahrain","/travel/destinations/traveler/none/bahrain"
"Bangladesh","/travel/destinations/traveler/none/bangladesh"
"Barbados","/travel/destinations/traveler/none/barbados"
"Belarus","/travel/destinations/traveler/none/belarus"
"Belgium","/travel/destinations/traveler/none/belgium"
"Belize","/travel/destinations/traveler/none/belize"
"Benin","/travel/destinations/traveler/none/benin"
"Bermuda (U.K.)","/travel/destinations/traveler/none/bermuda"
"Bhutan","/travel/destinations/traveler/none/bhutan"
"Bolivia","/travel/destinations/traveler/none/bolivia"
"Bonaire","/travel/destinations/traveler/none/bonaire"
"Bosnia and Herzegovina","/travel/destinations/traveler/none/bosnia-and-herzegovina"
"Botswana","/travel/destinations/traveler/none/botswana"
"Brazil","/travel/destinations/traveler/none/brazil"
"British Indian Ocean Territory (U.K.)","/travel/destinations/traveler/none/british-indian-ocean-territory"
"Brunei","/travel/destinations/traveler/none/brunei"
"Bulgaria","/travel/destinations/traveler/none/bulgaria"
"Burkina Faso","/travel/destinations/traveler/none/burkina-faso"
"Burma (Myanmar)","/travel/destinations/traveler/none/burma"
"Burundi","/travel/destinations/traveler/none/burundi"
"Cambodia","/travel/destinations/traveler/none/cambodia"
"Cameroon","/travel/destinations/traveler/none/cameroon"
"Canada","/travel/destinations/traveler/none/canada"
"Canary Islands (Spain)","/travel/destinations/traveler/none/canary-islands"
"Cape Verde","/travel/destinations/traveler/none/cape-verde"
"Cayman Islands (U.K.)","/travel/destinations/traveler/none/cayman-islands"
"Central African Republic","/travel/destinations/traveler/none/central-african-republic"
